score	pval
StromalScore	0.162524054957022
ImmuneScore	0.379572100099138
ESTIMATEScore	0.0267437017730177
StromalScore	0.162524054957022
ImmuneScore	0.379572100099138
ESTIMATEScore	0.0267437017730177
StromalScore	0.162524054957022
ImmuneScore	0.379572100099138
ESTIMATEScore	0.0267437017730177
StromalScore	0.162524054957022
ImmuneScore	0.379572100099138
ESTIMATEScore	0.0267437017730177
StromalScore	0.162524054957022
ImmuneScore	0.379572100099138
ESTIMATEScore	0.0267437017730177
